N, nbOpSEL, u_nbOPSEL, tExecSEL (ms), u_tExecSEL (ms), nbOpBUL, u_nbOPBUL, tExecBUL (ms), u_tExecBUL (ms), nbOpINS, u_nbOPINS, tExecINS (ms), u_tExecINS (ms)
10, 588, 3, 0.002, 0.006, 958, 199, 0.002, 0.006, 418, 82, 0.002, 0.007
27, 4149, 6, 0.004, 0.013, 7955, 987, 0.010, 0.045, 2735, 331, 0.003, 0.006
44, 10898, 10, 0.004, 0.008, 22003, 2088, 0.009, 0.004, 7037, 706, 0.004, 0.003
61, 20834, 14, 0.005, 0.007, 43483, 3395, 0.013, 0.006, 13389, 1094, 0.005, 0.006
78, 33954, 17, 0.007, 0.006, 72304, 5208, 0.018, 0.006, 21722, 1627, 0.006, 0.002
95, 50255, 22, 0.009, 0.002, 108545, 7101, 0.023, 0.006, 31976, 2162, 0.009, 0.003
112, 69738, 24, 0.012, 0.003, 152258, 8757, 0.028, 0.008, 44280, 2782, 0.011, 0.004
