N, nbOp, tExec (ms)
299, 574441, 0.179
300, 579545, 0.176
301, 581821, 0.177
302, 587184, 0.184
303, 590605, 0.196
304, 594264, 0.231
305, 599044, 0.281
306, 601929, 0.236
307, 606116, 0.222
308, 610188, 0.186
309, 615223, 0.206
310, 619725, 0.197
311, 622117, 0.209
312, 626301, 0.231
313, 630147, 0.188
314, 633970, 0.231
315, 638272, 0.246
316, 642831, 0.199
317, 646592, 0.225
318, 650991, 0.230
319, 655446, 0.228
320, 660120, 0.222
321, 662487, 0.214
322, 668994, 0.208
323, 672468, 0.297
324, 676340, 0.205
325, 679973, 0.259
326, 685366, 0.263
327, 688943, 0.233
328, 693943, 0.251
329, 697178, 0.224
330, 702372, 0.240
331, 706984, 0.258
332, 709976, 0.203
333, 714467, 0.222
334, 718385, 0.228
335, 723525, 0.273
336, 729169, 0.234
337, 731951, 0.217
338, 736518, 0.255
339, 739475, 0.266
340, 745905, 0.271
341, 749645, 0.250
342, 753370, 0.270
343, 757487, 0.254
344, 763646, 0.252
345, 768158, 0.308
346, 772624, 0.265
347, 776844, 0.271
348, 780856, 0.280
349, 785042, 0.269
350, 790782, 0.234
351, 795296, 0.242
352, 799431, 0.255
353, 804607, 0.258
354, 809208, 0.263
355, 813263, 0.245
356, 817644, 0.257
357, 822620, 0.260
358, 826667, 0.276
359, 831936, 0.272
360, 836434, 0.245
361, 839999, 0.253
362, 846827, 0.280
363, 851711, 0.268
364, 855496, 0.271
365, 860478, 0.244
366, 866615, 0.247
367, 870318, 0.271
368, 875180, 0.272
369, 878869, 0.273
370, 884330, 0.272
371, 888813, 0.256
372, 894993, 0.269
373, 899056, 0.255
374, 902773, 0.267
375, 907500, 0.265
376, 914059, 0.255
377, 919275, 0.256
378, 922523, 0.265
379, 927442, 0.272
380, 933852, 0.259
381, 938107, 0.256
382, 941603, 0.282
383, 947840, 0.307
384, 952771, 0.275
385, 957592, 0.288
386, 964891, 0.274
387, 967941, 0.273
388, 973211, 0.296
389, 977470, 0.276
390, 982628, 0.286
391, 988865, 0.285
392, 994245, 0.285
393, 998982, 0.306
394, 1004335, 0.306
395, 1008637, 0.286
396, 1013700, 0.287
397, 1017432, 0.299
398, 1025341, 0.279
399, 1028077, 0.329
400, 1033976, 0.299
401, 1040543, 0.363
402, 1046800, 0.284
403, 1051657, 0.302
404, 1054789, 0.287
405, 1062228, 0.297
406, 1065643, 0.323
407, 1072273, 0.312
408, 1077720, 0.322
409, 1081389, 0.325
410, 1087195, 0.323
411, 1092699, 0.312
412, 1100376, 0.304
413, 1104515, 0.340
414, 1109022, 0.302
415, 1113836, 0.325
416, 1120133, 0.323
417, 1126345, 0.322
418, 1130215, 0.331
419, 1135182, 0.325
420, 1142308, 0.310
421, 1148074, 0.320
422, 1153910, 0.349
423, 1158051, 0.427
424, 1164148, 0.433
425, 1168957, 0.387
426, 1174251, 0.373
427, 1179463, 0.400
428, 1186012, 0.359
429, 1192521, 0.493
430, 1197285, 1.002
431, 1203571, 1.078
432, 1208495, 0.754
433, 1214895, 0.542
434, 1221090, 0.495
435, 1225820, 0.512
436, 1231265, 0.351
437, 1238809, 0.388
438, 1241518, 0.365
439, 1248103, 0.370
440, 1255306, 0.369
441, 1259789, 0.358
442, 1265965, 0.371
443, 1271077, 0.428
444, 1276855, 0.405
445, 1283421, 0.402
446, 1288827, 0.473
447, 1293791, 0.403
448, 1300081, 0.431
449, 1303587, 0.354
450, 1313749, 0.372
451, 1319534, 0.412
452, 1324129, 0.365
453, 1330370, 0.359
454, 1334763, 0.420
455, 1341576, 0.415
456, 1347842, 0.466
457, 1354588, 0.407
458, 1359289, 0.436
459, 1364803, 0.423
460, 1372830, 0.449
461, 1378694, 0.500
462, 1385035, 0.494
463, 1388065, 0.476
464, 1398495, 0.471
465, 1402852, 0.427
466, 1409397, 0.424
467, 1414349, 0.439
468, 1421581, 0.420
469, 1428153, 0.415
470, 1433548, 0.431
471, 1438220, 0.415
472, 1447076, 0.462
473, 1453271, 0.464
474, 1456844, 0.429
475, 1462958, 0.419
476, 1472454, 0.472
477, 1477807, 0.455
478, 1483201, 0.449
479, 1488096, 0.427
480, 1495824, 0.474
481, 1500225, 0.431
482, 1507943, 0.400
483, 1512709, 0.415
484, 1520779, 0.434
485, 1525789, 0.432
486, 1534364, 0.418
487, 1539649, 0.428
488, 1543787, 0.473
489, 1551927, 0.463
490, 1557667, 0.498
491, 1564062, 0.437
492, 1570480, 0.437
493, 1577684, 0.472
494, 1584604, 0.474
495, 1592769, 0.453
496, 1597247, 0.456
497, 1604128, 0.438
498, 1611764, 0.557
499, 1618609, 0.589
