N, nbOpSEL, tExecSEL (ms), nbOpBUL, tExecBUL (ms), nbOpINS, tExecINS (ms)
147,96399,0.033,136612,0.043,70103,0.013
148,97702,0.036,138231,0.046,71037,0.014
149,99147,0.045,140343,0.058,72149,0.017
150,100175,0.036,141801,0.047,72716,0.014
151,101708,0.04,144165,0.051,73932,0.015
152,102966,0.037,145963,0.047,74786,0.014
153,104435,0.038,148012,0.05,75910,0.015
154,105762,0.041,149625,0.054,76843,0.016
155,107122,0.052,151404,0.067,77814,0.02
156,108490,0.045,153889,0.058,78791,0.017
157,110025,0.042,156068,0.054,79980,0.016
158,111415,0.038,158402,0.049,80974,0.015
159,112555,0.049,159910,0.063,81639,0.019
160,114234,0.04,161721,0.052,82999,0.015
161,115536,0.042,164196,0.055,83864,0.016
162,116985,0.043,166136,0.056,84914,0.017
163,118385,0.044,167821,0.057,85896,0.017
164,120078,0.058,170615,0.075,87253,0.023
165,121214,0.044,172227,0.059,87881,0.017
166,122982,0.048,174437,0.062,89326,0.019
167,124361,0.043,176618,0.056,90260,0.017
168,125919,0.048,178723,0.063,91421,0.019
169,127453,0.051,181220,0.066,92546,0.02
170,128912,0.043,183270,0.056,93567,0.017
171,130341,0.049,185160,0.064,94546,0.019
172,131920,0.05,187287,0.066,95713,0.02
173,133527,0.048,189660,0.063,96911,0.019
174,135132,0.046,192315,0.059,98102,0.018
175,136554,0.046,194010,0.061,99051,0.018
176,137991,0.047,196147,0.062,100012,0.019
177,139832,0.06,199005,0.078,101494,0.024
178,141234,0.059,200934,0.078,102400,0.023
179,143008,0.055,203325,0.072,103786,0.022
180,144487,0.053,205849,0.07,104781,0.021
181,146311,0.054,208569,0.07,106221,0.021
182,147727,0.052,210491,0.068,107125,0.02
183,149357,0.049,212642,0.064,108301,0.019
184,151170,0.063,215282,0.083,109710,0.025
185,152710,0.054,217533,0.072,110760,0.021
186,154289,0.058,219584,0.076,111855,0.023
187,156137,0.067,222637,0.087,113294,0.026
188,157771,0.063,225089,0.084,114450,0.025
189,159156,0.058,226824,0.077,115277,0.023
190,161209,0.052,229911,0.069,116967,0.021
191,162871,0.058,232274,0.076,118143,0.023
192,164539,0.054,234581,0.071,119323,0.022
193,166197,0.053,237161,0.07,120483,0.021
194,167828,0.056,239211,0.073,121605,0.022
195,169477,0.076,241707,0.1,122744,0.03
196,171329,0.056,244197,0.074,124142,0.022
197,173479,0.068,247741,0.09,125921,0.027
198,175001,0.066,249822,0.087,126880,0.029
199,176837,0.066,252896,0.087,128241,0.026
200,178358,0.071,254565,0.095,129188,0.028
201,180399,0.077,257805,0.101,130805,0.031
202,182173,0.071,260035,0.093,132070,0.028
203,183891,0.076,262813,0.099,133257,0.03
204,185692,0.063,265295,0.084,134547,0.025
205,187762,0.06,268150,0.08,136182,0.024
206,188986,0.068,270109,0.09,136711,0.027
207,191487,0.072,273619,0.096,138894,0.029
208,193127,0.071,276050,0.095,139954,0.029
209,194991,0.064,278730,0.086,141300,0.026
210,197095,0.068,281836,0.091,142953,0.027
211,198654,0.064,283977,0.084,143891,0.025
212,200576,0.063,286598,0.083,145296,0.025
213,202674,0.063,289386,0.084,146926,0.025
214,204472,0.076,292103,0.102,148159,0.031
215,206265,0.065,295428,0.087,149381,0.026
216,208453,0.066,297847,0.088,151112,0.027
217,210368,0.068,300491,0.089,152483,0.027
218,211760,0.07,302642,0.095,153169,0.028
219,214094,0.082,306408,0.109,155073,0.033
220,215919,0.084,309085,0.112,156311,0.034
