N, nbOp, tExec (ms)
300, 402277, 0.127
301, 404164, 0.129
302, 407385, 0.133
303, 410072, 0.144
304, 412221, 0.166
305, 415671, 0.204
306, 418327, 0.171
307, 420363, 0.160
308, 423586, 0.135
309, 426438, 0.148
310, 429601, 0.143
311, 431826, 0.149
312, 434212, 0.167
313, 437314, 0.136
314, 439368, 0.166
315, 442783, 0.179
316, 445816, 0.144
317, 448414, 0.163
318, 451801, 0.165
319, 454128, 0.166
320, 457245, 0.160
321, 459735, 0.153
322, 463076, 0.150
323, 466254, 0.215
324, 468977, 0.148
325, 471588, 0.186
326, 474592, 0.188
327, 477561, 0.168
328, 480553, 0.181
329, 483315, 0.161
330, 486286, 0.172
331, 489256, 0.184
332, 492143, 0.147
333, 495011, 0.160
334, 498156, 0.164
335, 501138, 0.198
336, 504815, 0.167
337, 507238, 0.156
338, 509963, 0.183
339, 512295, 0.191
340, 516656, 0.194
341, 518908, 0.178
342, 522123, 0.194
343, 525367, 0.184
344, 528309, 0.180
345, 531887, 0.221
346, 534197, 0.189
347, 537599, 0.192
348, 540503, 0.200
349, 543913, 0.193
350, 546884, 0.169
351, 549733, 0.173
352, 553650, 0.181
353, 556676, 0.184
354, 559463, 0.185
355, 562682, 0.176
356, 565252, 0.184
357, 568915, 0.185
358, 572418, 0.198
359, 575643, 0.195
360, 579016, 0.175
361, 581160, 0.181
362, 585316, 0.201
363, 589034, 0.192
364, 591861, 0.193
365, 595012, 0.173
366, 599171, 0.175
367, 601759, 0.195
368, 604970, 0.192
369, 608199, 0.196
370, 610805, 0.192
371, 614337, 0.183
372, 618428, 0.193
373, 621658, 0.181
374, 624056, 0.191
375, 627286, 0.190
376, 631264, 0.182
377, 634629, 0.181
378, 637714, 0.188
379, 641016, 0.191
380, 644849, 0.184
381, 648991, 0.182
382, 650812, 0.200
383, 655169, 0.219
384, 658173, 0.194
385, 661842, 0.205
386, 666051, 0.192
387, 668986, 0.192
388, 672531, 0.209
389, 675729, 0.194
390, 678975, 0.202
391, 683008, 0.200
392, 686467, 0.202
393, 689790, 0.216
394, 693213, 0.215
395, 696679, 0.204
396, 700213, 0.202
397, 703938, 0.207
398, 708230, 0.197
399, 710620, 0.234
400, 714489, 0.212
401, 718099, 0.256
402, 722205, 0.201
403, 725754, 0.212
404, 728084, 0.203
405, 732833, 0.208
406, 736218, 0.226
407, 739668, 0.219
408, 743531, 0.225
409, 746519, 0.229
410, 750290, 0.227
411, 754526, 0.220
412, 758646, 0.214
413, 761351, 0.239
414, 765477, 0.212
415, 768308, 0.228
416, 772505, 0.229
417, 777280, 0.227
418, 780004, 0.231
419, 783835, 0.228
420, 787408, 0.217
421, 791155, 0.226
422, 795740, 0.244
423, 798451, 0.277
424, 802892, 0.303
425, 806521, 0.266
426, 809908, 0.260
427, 813458, 0.278
428, 818007, 0.251
429, 821992, 0.330
430, 825520, 0.641
431, 829884, 0.685
432, 833107, 0.494
433, 837474, 0.376
434, 841603, 0.348
435, 844656, 0.357
436, 849087, 0.246
437, 853376, 0.271
438, 856727, 0.259
439, 860012, 0.258
440, 864748, 0.258
441, 868830, 0.250
442, 872538, 0.260
443, 875771, 0.299
444, 881044, 0.280
445, 884214, 0.280
446, 887792, 0.321
447, 892505, 0.283
448, 895887, 0.292
449, 898560, 0.247
450, 904838, 0.258
451, 909071, 0.282
452, 911893, 0.253
453, 916012, 0.251
454, 920239, 0.292
455, 923898, 0.285
456, 928658, 0.321
457, 932890, 0.280
458, 937143, 0.304
459, 940867, 0.292
460, 945782, 0.309
461, 949309, 0.347
462, 953577, 0.341
463, 956738, 0.330
464, 962288, 0.323
465, 966003, 0.297
466, 971076, 0.315
467, 973982, 0.302
468, 978329, 0.288
469, 982849, 0.288
470, 986752, 0.299
471, 990399, 0.290
472, 996274, 0.309
473, 1000425, 0.315
474, 1002402, 0.298
475, 1007782, 0.291
476, 1012597, 0.323
477, 1016255, 0.293
478, 1020936, 0.310
479, 1024246, 0.295
480, 1028736, 0.328
481, 1033119, 0.301
482, 1038201, 0.277
483, 1041603, 0.285
484, 1046621, 0.300
485, 1050326, 0.299
486, 1055609, 0.291
487, 1059165, 0.298
488, 1063167, 0.329
489, 1069028, 0.322
490, 1072589, 0.344
491, 1076544, 0.302
492, 1080500, 0.303
493, 1085970, 0.327
494, 1089413, 0.327
495, 1095365, 0.311
496, 1098172, 0.314
497, 1103193, 0.302
498, 1108222, 0.383
499, 1112654, 0.406
