N, nbOpSEL, u_nbOPSEL, tExecSEL (ms), u_tExecSEL (ms), nbOpBUL, u_nbOPBUL, tExecBUL (ms), u_tExecBUL (ms), nbOpINS, u_nbOPINS, tExecINS (ms), u_tExecINS (ms)
57, 18211, 14, 0.012, 0.074, 37736, 3157, 0.020, 0.010, 11711, 1043, 0.006, 0.006
58, 18850, 14, 0.012, 0.053, 39209, 3145, 0.023, 0.028, 12153, 1018, 0.006, 0.001
59, 19500, 14, 0.011, 0.041, 40595, 3460, 0.020, 0.007, 12509, 1108, 0.006, 0.006
60, 20162, 15, 0.009, 0.004, 42211, 3356, 0.019, 0.005, 12936, 1093, 0.005, 0.002
61, 20835, 15, 0.008, 0.001, 43402, 3521, 0.018, 0.006, 13339, 1160, 0.005, 0.001
62, 21519, 14, 0.008, 0.001, 44784, 3453, 0.018, 0.005, 13866, 1166, 0.005, 0.001
63, 22213, 15, 0.008, 0.016, 46454, 3604, 0.019, 0.023, 14276, 1225, 0.005, 0.003
64, 22919, 16, 0.007, 0.023, 48158, 3648, 0.015, 0.016, 14783, 1258, 0.004, 0.005
65, 23635, 16, 0.004, 0.001, 49599, 3888, 0.010, 0.002, 15131, 1279, 0.003, 0.000
66, 24363, 16, 0.005, 0.005, 51061, 3966, 0.010, 0.002, 15577, 1298, 0.003, 0.003
67, 25102, 15, 0.005, 0.001, 52629, 4016, 0.011, 0.012, 16074, 1296, 0.003, 0.001
68, 25851, 16, 0.005, 0.001, 54560, 4036, 0.012, 0.038, 16532, 1289, 0.003, 0.001
69, 26613, 16, 0.007, 0.019, 56202, 4345, 0.014, 0.019, 17079, 1355, 0.006, 0.025
70, 27384, 16, 0.008, 0.013, 57655, 4238, 0.016, 0.018, 17492, 1391, 0.005, 0.012
71, 28166, 17, 0.008, 0.009, 59383, 4434, 0.016, 0.009, 18092, 1467, 0.005, 0.009
72, 28960, 17, 0.007, 0.005, 61409, 4596, 0.015, 0.006, 18550, 1411, 0.005, 0.007
73, 29764, 17, 0.007, 0.008, 62993, 4625, 0.016, 0.013, 19148, 1480, 0.005, 0.012
74, 30581, 17, 0.007, 0.008, 64659, 4713, 0.016, 0.013, 19512, 1477, 0.005, 0.007
75, 31407, 17, 0.009, 0.035, 66557, 4705, 0.015, 0.029, 20098, 1516, 0.005, 0.026
76, 32246, 17, 0.010, 0.021, 68392, 4925, 0.021, 0.028, 20521, 1584, 0.008, 0.029
77, 33093, 17, 0.017, 0.039, 70364, 4919, 0.030, 0.028, 21092, 1632, 0.009, 0.025
78, 33953, 18, 0.007, 0.002, 72049, 5238, 0.018, 0.014, 21704, 1689, 0.008, 0.024
79, 34824, 18, 0.008, 0.007, 74159, 5062, 0.018, 0.006, 22247, 1665, 0.005, 0.007
80, 35706, 19, 0.009, 0.019, 76228, 5270, 0.019, 0.022, 22838, 1694, 0.006, 0.019
81, 36599, 19, 0.011, 0.037, 77755, 5534, 0.020, 0.029, 23306, 1772, 0.008, 0.027
82, 37504, 19, 0.009, 0.008, 80019, 5508, 0.019, 0.008, 23970, 1836, 0.006, 0.008
83, 38417, 19, 0.010, 0.009, 82214, 5640, 0.020, 0.009, 24497, 1795, 0.006, 0.008
84, 39343, 19, 0.010, 0.011, 84256, 5835, 0.022, 0.009, 25148, 1843, 0.007, 0.011
85, 40281, 19, 0.009, 0.007, 86125, 5822, 0.020, 0.007, 25736, 1867, 0.006, 0.009
86, 41228, 20, 0.007, 0.001, 88651, 5964, 0.017, 0.003, 26373, 1875, 0.005, 0.001
87, 42187, 21, 0.007, 0.004, 90681, 5884, 0.017, 0.008, 26926, 1884, 0.005, 0.001
88, 43157, 20, 0.009, 0.003, 92692, 6200, 0.020, 0.005, 27528, 1895, 0.006, 0.001
89, 44139, 19, 0.007, 0.003, 94848, 6336, 0.017, 0.008, 28179, 2022, 0.005, 0.001
90, 45131, 21, 0.009, 0.014, 97080, 6484, 0.021, 0.019, 28791, 1989, 0.005, 0.001
91, 46133, 21, 0.007, 0.002, 99278, 6388, 0.017, 0.004, 29334, 2019, 0.005, 0.006
92, 47147, 21, 0.007, 0.003, 101668, 6426, 0.017, 0.002, 30148, 2139, 0.005, 0.007
93, 48172, 22, 0.008, 0.003, 104017, 6761, 0.018, 0.004, 30736, 2175, 0.005, 0.001
94, 49209, 21, 0.008, 0.004, 106031, 6725, 0.018, 0.004, 31366, 2194, 0.005, 0.001
95, 50254, 20, 0.008, 0.002, 108577, 6818, 0.019, 0.005, 31940, 2164, 0.005, 0.003
96, 51313, 22, 0.008, 0.001, 110710, 7001, 0.019, 0.005, 32576, 2230, 0.005, 0.001
97, 52382, 22, 0.008, 0.009, 113396, 7038, 0.020, 0.008, 33306, 2345, 0.005, 0.001
98, 53462, 23, 0.009, 0.020, 115836, 7192, 0.021, 0.016, 34062, 2240, 0.006, 0.001
99, 54554, 22, 0.009, 0.005, 117794, 7380, 0.020, 0.009, 34687, 2383, 0.006, 0.001
100, 55654, 22, 0.008, 0.002, 120309, 7146, 0.021, 0.016, 35405, 2345, 0.006, 0.015
101, 56768, 22, 0.009, 0.014, 123121, 7594, 0.021, 0.009, 36227, 2379, 0.006, 0.001
102, 57892, 23, 0.009, 0.005, 125526, 7812, 0.021, 0.004, 36846, 2374, 0.006, 0.001
103, 59027, 22, 0.010, 0.002, 128088, 7675, 0.023, 0.010, 37555, 2424, 0.007, 0.004
104, 60174, 24, 0.009, 0.002, 130442, 7784, 0.026, 0.064, 38321, 2443, 0.006, 0.001
105, 61330, 23, 0.009, 0.001, 133778, 7994, 0.024, 0.028, 39160, 2562, 0.007, 0.015
106, 62497, 24, 0.010, 0.002, 135693, 8357, 0.023, 0.003, 39844, 2533, 0.007, 0.005
107, 63677, 24, 0.012, 0.006, 138625, 8594, 0.028, 0.009, 40431, 2638, 0.008, 0.014
108, 64868, 24, 0.010, 0.002, 141211, 8594, 0.024, 0.006, 41239, 2521, 0.007, 0.005
109, 66069, 24, 0.010, 0.005, 143854, 8578, 0.024, 0.010, 41980, 2684, 0.007, 0.006
110, 67281, 24, 0.010, 0.002, 146478, 8440, 0.024, 0.004, 42732, 2710, 0.007, 0.001
111, 68504, 25, 0.011, 0.009, 149241, 8679, 0.027, 0.008, 43401, 2754, 0.008, 0.006
112, 69738, 25, 0.013, 0.006, 152124, 8878, 0.031, 0.021, 44351, 2865, 0.008, 0.002
113, 70985, 26, 0.013, 0.005, 154666, 8953, 0.031, 0.012, 45093, 2971, 0.009, 0.002
114, 72240, 25, 0.012, 0.002, 157981, 8565, 0.029, 0.005, 46110, 2760, 0.008, 0.002
115, 73506, 26, 0.011, 0.001, 160554, 9204, 0.027, 0.006, 46760, 2894, 0.008, 0.004
116, 74784, 25, 0.015, 0.008, 163500, 9242, 0.035, 0.013, 47455, 2994, 0.010, 0.013
117, 76073, 25, 0.012, 0.004, 166121, 9653, 0.029, 0.010, 48411, 3067, 0.008, 0.002
118, 77372, 25, 0.011, 0.005, 168566, 9431, 0.029, 0.044, 49135, 2997, 0.008, 0.001
119, 78687, 25, 0.012, 0.013, 172643, 9578, 0.030, 0.033, 49942, 3041, 0.008, 0.001
120, 80008, 26, 0.013, 0.004, 175614, 10045, 0.040, 0.274, 50904, 3012, 0.009, 0.004
121, 81343, 27, 0.013, 0.002, 178225, 9894, 0.031, 0.006, 51654, 3124, 0.009, 0.002
122, 82684, 28, 0.017, 0.005, 181332, 10321, 0.038, 0.014, 52561, 3192, 0.011, 0.003
123, 84039, 26, 0.014, 0.004, 184552, 9851, 0.032, 0.017, 53435, 3318, 0.009, 0.002
124, 85406, 27, 0.014, 0.002, 188000, 10478, 0.032, 0.007, 54248, 3372, 0.009, 0.006
125, 86785, 28, 0.016, 0.005, 190220, 10211, 0.036, 0.015, 55110, 3330, 0.010, 0.004
126, 88172, 28, 0.015, 0.020, 193447, 10455, 0.034, 0.029, 55894, 3333, 0.009, 0.005
127, 89572, 28, 0.014, 0.002, 197201, 11178, 0.033, 0.004, 56944, 3405, 0.010, 0.003
128, 90982, 28, 0.017, 0.006, 199746, 11114, 0.040, 0.020, 57607, 3423, 0.011, 0.005
129, 92402, 28, 0.015, 0.004, 203221, 11182, 0.034, 0.013, 58707, 3377, 0.010, 0.003
130, 93834, 28, 0.014, 0.001, 206612, 11389, 0.033, 0.009, 59618, 3532, 0.009, 0.002
131, 95277, 29, 0.015, 0.004, 209588, 11412, 0.038, 0.060, 60391, 3597, 0.010, 0.013
132, 96732, 29, 0.020, 0.008, 213181, 11775, 0.045, 0.021, 61408, 3676, 0.013, 0.004
133, 98197, 28, 0.021, 0.007, 216863, 11538, 0.046, 0.012, 62191, 3850, 0.014, 0.004
134, 99675, 30, 0.021, 0.006, 219267, 12068, 0.047, 0.016, 63219, 3621, 0.014, 0.004
135, 101163, 29, 0.019, 0.016, 223096, 12196, 0.043, 0.027, 64015, 3666, 0.013, 0.009
136, 102659, 30, 0.030, 0.042, 226472, 12024, 0.068, 0.054, 65152, 3734, 0.019, 0.007
137, 104169, 29, 0.024, 0.010, 230186, 12123, 0.053, 0.020, 66008, 3813, 0.015, 0.006
138, 105688, 30, 0.022, 0.041, 233836, 12442, 0.048, 0.045, 67065, 3923, 0.014, 0.013
139, 107220, 31, 0.020, 0.028, 237073, 12392, 0.042, 0.011, 67879, 3890, 0.012, 0.007
140, 108763, 29, 0.028, 0.010, 240363, 12544, 0.064, 0.027, 69046, 3986, 0.018, 0.008
141, 110317, 32, 0.026, 0.010, 244028, 12711, 0.059, 0.025, 70097, 4011, 0.017, 0.005
142, 111880, 29, 0.016, 0.000, 247298, 12884, 0.039, 0.011, 70836, 4055, 0.011, 0.001
143, 113456, 31, 0.018, 0.011, 251676, 12490, 0.042, 0.051, 71836, 4019, 0.012, 0.024
144, 115042, 30, 0.017, 0.004, 255002, 12667, 0.040, 0.015, 73034, 3973, 0.011, 0.003
145, 116640, 30, 0.018, 0.006, 258595, 13219, 0.040, 0.009, 73912, 4040, 0.012, 0.003
146, 118249, 30, 0.018, 0.004, 262273, 12956, 0.040, 0.009, 74871, 4188, 0.012, 0.002
147, 119867, 32, 0.026, 0.008, 265934, 13144, 0.059, 0.021, 75925, 4164, 0.017, 0.005
148, 121500, 32, 0.018, 0.003, 270018, 13491, 0.042, 0.010, 77072, 4315, 0.012, 0.002
149, 123140, 32, 0.019, 0.012, 273459, 13597, 0.043, 0.023, 78306, 4255, 0.013, 0.022
150, 124791, 33, 0.020, 0.007, 275332, 13909, 0.046, 0.020, 78672, 4399, 0.013, 0.006
151, 126456, 32, 0.022, 0.011, 280784, 13751, 0.050, 0.023, 80146, 4397, 0.015, 0.011
152, 128129, 33, 0.019, 0.007, 284874, 13579, 0.043, 0.011, 81362, 4565, 0.013, 0.004
153, 129814, 31, 0.021, 0.014, 288395, 14259, 0.046, 0.013, 82090, 4398, 0.014, 0.005
154, 131510, 34, 0.022, 0.045, 292816, 14794, 0.048, 0.015, 83366, 4614, 0.014, 0.004
155, 133219, 32, 0.020, 0.006, 296564, 14546, 0.045, 0.015, 84393, 4584, 0.013, 0.007
156, 134939, 33, 0.022, 0.008, 299886, 15344, 0.051, 0.016, 85466, 4621, 0.015, 0.004
157, 136668, 32, 0.023, 0.009, 303965, 14993, 0.054, 0.025, 86303, 4602, 0.016, 0.006
158, 138409, 33, 0.021, 0.008, 308320, 14997, 0.049, 0.022, 87594, 4665, 0.015, 0.013
159, 140158, 34, 0.025, 0.013, 312033, 15332, 0.057, 0.026, 88792, 4811, 0.017, 0.009
160, 141921, 34, 0.024, 0.016, 315320, 15784, 0.055, 0.021, 89841, 4705, 0.016, 0.005
161, 143693, 34, 0.022, 0.008, 319929, 15102, 0.051, 0.020, 90819, 4684, 0.015, 0.006
162, 145480, 34, 0.023, 0.007, 323389, 15743, 0.053, 0.013, 92054, 4872, 0.015, 0.005
163, 147274, 35, 0.021, 0.008, 327444, 15845, 0.049, 0.009, 93541, 4918, 0.014, 0.005
164, 149080, 35, 0.024, 0.028, 332343, 16018, 0.054, 0.022, 94209, 4956, 0.015, 0.007
165, 150900, 35, 0.022, 0.014, 336346, 16496, 0.050, 0.012, 95683, 5039, 0.016, 0.024
166, 152726, 34, 0.022, 0.003, 340549, 15760, 0.051, 0.008, 96820, 5153, 0.015, 0.004
167, 154566, 34, 0.022, 0.005, 345267, 16305, 0.051, 0.010, 97714, 5060, 0.015, 0.006
168, 156417, 35, 0.022, 0.004, 348369, 16422, 0.052, 0.010, 99174, 5211, 0.015, 0.003
169, 158278, 34, 0.023, 0.007, 353694, 16424, 0.052, 0.011, 100079, 4932, 0.015, 0.005
170, 160151, 36, 0.023, 0.010, 357273, 16728, 0.053, 0.017, 101366, 5402, 0.017, 0.031
171, 162035, 35, 0.024, 0.016, 361481, 17239, 0.055, 0.016, 102268, 5296, 0.016, 0.011
172, 163928, 36, 0.024, 0.007, 365450, 16289, 0.055, 0.015, 103603, 5185, 0.017, 0.017
173, 165834, 37, 0.024, 0.005, 369990, 17845, 0.055, 0.011, 105008, 5264, 0.016, 0.003
174, 167749, 36, 0.024, 0.005, 374870, 17149, 0.055, 0.010, 105953, 5429, 0.016, 0.005
175, 169679, 37, 0.025, 0.015, 379112, 17878, 0.057, 0.028, 107354, 5607, 0.016, 0.005
176, 171616, 36, 0.024, 0.003, 383277, 18066, 0.056, 0.009, 108614, 5352, 0.016, 0.003
177, 173567, 38, 0.024, 0.004, 388669, 17661, 0.057, 0.010, 109848, 5709, 0.017, 0.010
178, 175527, 37, 0.025, 0.009, 392249, 18310, 0.057, 0.015, 110873, 5762, 0.017, 0.003
179, 177498, 37, 0.025, 0.005, 396639, 18712, 0.058, 0.018, 112178, 5715, 0.017, 0.004
180, 179481, 39, 0.026, 0.011, 402021, 18809, 0.061, 0.022, 113623, 5673, 0.018, 0.007
181, 181473, 37, 0.028, 0.009, 407458, 18686, 0.066, 0.026, 114601, 5683, 0.020, 0.019
182, 183479, 38, 0.026, 0.008, 410338, 18962, 0.060, 0.023, 116146, 5886, 0.023, 0.128
183, 185495, 39, 0.031, 0.036, 416049, 19313, 0.071, 0.104, 117489, 5793, 0.020, 0.022
184, 187520, 38, 0.036, 0.049, 420757, 19032, 0.078, 0.044, 118287, 5983, 0.025, 0.040
185, 189561, 39, 0.028, 0.006, 424942, 18652, 0.065, 0.018, 120017, 5950, 0.020, 0.015
186, 191605, 39, 0.027, 0.006, 429718, 19197, 0.062, 0.008, 121255, 6195, 0.018, 0.004
187, 193666, 39, 0.055, 0.016, 434543, 19568, 0.124, 0.033, 122602, 6195, 0.037, 0.013
188, 195738, 40, 0.028, 0.007, 437709, 20144, 0.064, 0.013, 123327, 5948, 0.019, 0.006
189, 197819, 38, 0.028, 0.011, 444742, 19466, 0.064, 0.011, 124850, 5909, 0.020, 0.020
190, 199914, 39, 0.028, 0.005, 448719, 19950, 0.065, 0.021, 126316, 6327, 0.019, 0.008
191, 202019, 40, 0.030, 0.032, 452905, 20146, 0.066, 0.019, 128001, 6193, 0.020, 0.012
192, 204129, 40, 0.029, 0.009, 457657, 19825, 0.068, 0.019, 128874, 6290, 0.020, 0.004
193, 206255, 41, 0.028, 0.008, 463067, 20684, 0.066, 0.010, 130334, 6542, 0.020, 0.006
194, 208393, 42, 0.028, 0.006, 468801, 20552, 0.067, 0.010, 131801, 6702, 0.021, 0.024
195, 210539, 40, 0.032, 0.016, 472555, 20981, 0.073, 0.026, 132710, 6329, 0.021, 0.008
196, 212700, 41, 0.029, 0.004, 478295, 21028, 0.068, 0.015, 134418, 7019, 0.021, 0.012
197, 214870, 39, 0.040, 0.015, 482102, 22166, 0.095, 0.040, 136300, 6575, 0.028, 0.010
198, 217049, 41, 0.030, 0.006, 488458, 20705, 0.070, 0.014, 136921, 6348, 0.021, 0.008
199, 219243, 42, 0.030, 0.011, 493556, 21497, 0.070, 0.017, 138770, 6910, 0.021, 0.011
200, 221445, 43, 0.037, 0.016, 498241, 21771, 0.087, 0.029, 140041, 6730, 0.026, 0.008
201, 223656, 41, 0.034, 0.013, 503347, 21764, 0.077, 0.020, 141676, 6602, 0.023, 0.009
202, 225882, 41, 0.032, 0.021, 507807, 22649, 0.072, 0.014, 142539, 6600, 0.021, 0.005
203, 228120, 41, 0.032, 0.019, 514138, 22144, 0.073, 0.020, 144313, 6919, 0.022, 0.011
204, 230362, 41, 0.031, 0.007, 518142, 22227, 0.075, 0.020, 145778, 7116, 0.022, 0.004
205, 232623, 42, 0.031, 0.005, 524496, 22408, 0.073, 0.009, 147467, 6798, 0.022, 0.004
206, 234886, 42, 0.032, 0.014, 528843, 23000, 0.075, 0.019, 148011, 6954, 0.022, 0.011
207, 237170, 42, 0.032, 0.009, 533827, 22234, 0.075, 0.017, 150123, 6927, 0.023, 0.017
208, 239461, 42, 0.037, 0.013, 538878, 24069, 0.087, 0.061, 151135, 7103, 0.026, 0.010
209, 241765, 43, 0.045, 0.017, 544318, 23697, 0.106, 0.049, 152730, 7245, 0.032, 0.023
210, 244073, 41, 0.034, 0.006, 550291, 22746, 0.078, 0.010, 154382, 7065, 0.025, 0.051
211, 246400, 43, 0.034, 0.008, 555386, 24183, 0.080, 0.020, 156169, 7356, 0.024, 0.014
212, 248734, 42, 0.035, 0.010, 560963, 23317, 0.080, 0.022, 157179, 7493, 0.024, 0.005
213, 251080, 43, 0.034, 0.009, 566204, 23146, 0.079, 0.020, 158797, 7385, 0.024, 0.006
214, 253436, 43, 0.036, 0.011, 571196, 23968, 0.082, 0.021, 159918, 7250, 0.025, 0.006
215, 255802, 44, 0.036, 0.010, 576037, 24972, 0.083, 0.019, 161627, 7516, 0.025, 0.008
216, 258183, 44, 0.039, 0.011, 583575, 24091, 0.093, 0.039, 163168, 7699, 0.028, 0.018
217, 260574, 45, 0.036, 0.015, 588050, 25070, 0.082, 0.021, 164638, 7544, 0.025, 0.005
218, 262971, 46, 0.040, 0.031, 594158, 24501, 0.093, 0.052, 166020, 7755, 0.028, 0.036
219, 265384, 45, 0.045, 0.036, 600145, 24520, 0.106, 0.054, 167707, 7382, 0.031, 0.029
220, 267807, 45, 0.039, 0.012, 604866, 24632, 0.091, 0.025, 169187, 7587, 0.028, 0.013
221, 270239, 44, 0.045, 0.026, 610178, 25561, 0.105, 0.058, 170002, 7706, 0.031, 0.017
222, 272685, 45, 0.052, 0.023, 617077, 25417, 0.122, 0.051, 172002, 7613, 0.037, 0.023
223, 275139, 46, 0.042, 0.014, 622938, 24921, 0.098, 0.031, 173476, 7865, 0.029, 0.012
224, 277606, 47, 0.046, 0.069, 627054, 26411, 0.101, 0.029, 175319, 8105, 0.030, 0.011
225, 280086, 45, 0.038, 0.009, 632854, 26206, 0.088, 0.025, 177477, 8208, 0.026, 0.004
226, 282576, 46, 0.037, 0.005, 638393, 26544, 0.089, 0.019, 178345, 7824, 0.026, 0.010
227, 285077, 46, 0.039, 0.016, 644941, 26862, 0.089, 0.017, 179902, 8079, 0.027, 0.009
228, 287587, 46, 0.040, 0.011, 651257, 26724, 0.094, 0.021, 181678, 7861, 0.028, 0.013
229, 290105, 45, 0.038, 0.005, 655650, 27001, 0.090, 0.015, 182882, 7885, 0.027, 0.009
230, 292642, 46, 0.042, 0.015, 663118, 25765, 0.099, 0.026, 185164, 8185, 0.030, 0.015
231, 295184, 47, 0.045, 0.079, 670095, 25467, 0.100, 0.034, 186884, 8374, 0.031, 0.026
232, 297740, 48, 0.043, 0.013, 674991, 27190, 0.102, 0.034, 188404, 8090, 0.032, 0.057
233, 300302, 48, 0.041, 0.011, 681350, 26051, 0.096, 0.035, 189508, 8184, 0.029, 0.010
234, 302881, 48, 0.044, 0.007, 685080, 27009, 0.102, 0.013, 190939, 8318, 0.031, 0.013
235, 305471, 50, 0.045, 0.012, 690981, 28694, 0.105, 0.017, 192953, 8492, 0.032, 0.005
236, 308068, 48, 0.044, 0.009, 697958, 27100, 0.103, 0.012, 194749, 8699, 0.031, 0.003
237, 310678, 46, 0.047, 0.022, 704848, 27204, 0.108, 0.025, 196530, 8377, 0.032, 0.007
238, 313299, 46, 0.053, 0.026, 711372, 27457, 0.124, 0.044, 197971, 8889, 0.037, 0.012
239, 315929, 50, 0.048, 0.017, 715849, 27988, 0.111, 0.021, 199213, 8627, 0.034, 0.020
240, 318573, 49, 0.051, 0.008, 720642, 28565, 0.120, 0.011, 201259, 8766, 0.036, 0.009
241, 321228, 46, 0.051, 0.023, 726675, 28370, 0.120, 0.045, 202503, 8533, 0.036, 0.011
242, 323893, 48, 0.050, 0.044, 734041, 28892, 0.118, 0.078, 204723, 9032, 0.035, 0.017
243, 326570, 48, 0.052, 0.017, 741304, 28767, 0.123, 0.043, 206431, 9152, 0.037, 0.016
244, 329255, 49, 0.054, 0.042, 746282, 30564, 0.128, 0.080, 208218, 9100, 0.037, 0.020
245, 331953, 50, 0.057, 0.077, 752797, 29885, 0.124, 0.044, 209361, 9101, 0.038, 0.022
246, 334661, 47, 0.047, 0.019, 758984, 29770, 0.112, 0.053, 211296, 9108, 0.033, 0.010
247, 337384, 49, 0.058, 0.024, 766022, 30100, 0.138, 0.057, 213670, 9245, 0.041, 0.015
248, 340112, 48, 0.045, 0.009, 771144, 30871, 0.108, 0.024, 214836, 9425, 0.032, 0.006
249, 342857, 49, 0.045, 0.015, 778010, 28722, 0.106, 0.020, 216836, 8996, 0.032, 0.006
250, 345607, 50, 0.047, 0.056, 785765, 30468, 0.107, 0.024, 218032, 9846, 0.032, 0.005
251, 348371, 50, 0.045, 0.012, 791389, 30750, 0.107, 0.015, 219804, 9360, 0.032, 0.005
252, 351147, 51, 0.048, 0.011, 797625, 30370, 0.113, 0.030, 221698, 9588, 0.034, 0.013
253, 353933, 53, 0.047, 0.010, 801132, 31438, 0.111, 0.026, 223340, 9472, 0.034, 0.011
254, 356727, 49, 0.053, 0.018, 811489, 31442, 0.125, 0.048, 225271, 10104, 0.037, 0.012
255, 359534, 51, 0.046, 0.006, 815781, 31899, 0.109, 0.014, 226545, 9438, 0.033, 0.011
256, 362355, 50, 0.047, 0.014, 822759, 31734, 0.111, 0.012, 228443, 9921, 0.035, 0.035
257, 365186, 51, 0.075, 0.194, 829690, 32535, 0.152, 0.068, 230119, 9758, 0.052, 0.202
258, 368024, 53, 0.059, 0.027, 837473, 33317, 0.138, 0.054, 232294, 9834, 0.043, 0.032
259, 370878, 51, 0.069, 0.085, 843667, 32554, 0.164, 0.174, 233792, 9772, 0.047, 0.073
260, 373739, 50, 0.082, 0.040, 849879, 31573, 0.194, 0.093, 235573, 10030, 0.059, 0.033
261, 376613, 53, 0.092, 0.066, 855498, 33663, 0.217, 0.130, 237622, 9923, 0.067, 0.060
262, 379496, 51, 0.091, 0.069, 864771, 32389, 0.216, 0.154, 239643, 9860, 0.063, 0.057
263, 382396, 52, 0.079, 0.082, 869905, 32854, 0.183, 0.120, 241313, 10070, 0.052, 0.021
264, 385303, 50, 0.084, 0.086, 876756, 34268, 0.192, 0.112, 243233, 9947, 0.059, 0.056
265, 388220, 52, 0.077, 0.045, 883327, 32039, 0.183, 0.180, 245563, 9922, 0.055, 0.050
266, 391147, 54, 0.053, 0.033, 889568, 33645, 0.125, 0.070, 247252, 10308, 0.038, 0.054
267, 394087, 53, 0.072, 0.044, 897676, 32673, 0.168, 0.085, 248820, 9978, 0.051, 0.046
268, 397040, 54, 0.089, 0.035, 903941, 33870, 0.214, 0.113, 250624, 10652, 0.065, 0.043
269, 400002, 54, 0.084, 0.100, 910431, 34442, 0.194, 0.086, 252983, 10572, 0.059, 0.038
270, 402978, 54, 0.055, 0.033, 918233, 35368, 0.132, 0.089, 254955, 10900, 0.039, 0.022
271, 405959, 53, 0.087, 0.037, 925221, 34139, 0.208, 0.083, 256229, 10434, 0.060, 0.021
272, 408954, 54, 0.076, 0.064, 931763, 35487, 0.177, 0.095, 258713, 10402, 0.056, 0.082
273, 411959, 54, 0.074, 0.039, 939696, 34433, 0.174, 0.073, 259704, 10918, 0.053, 0.035
274, 414974, 56, 0.056, 0.016, 946138, 35461, 0.132, 0.030, 261841, 10769, 0.041, 0.032
275, 418004, 55, 0.053, 0.008, 952644, 35261, 0.126, 0.020, 263873, 10559, 0.038, 0.008
276, 421043, 54, 0.056, 0.016, 959706, 35984, 0.133, 0.030, 265710, 10863, 0.040, 0.026
277, 424093, 54, 0.054, 0.011, 967745, 36458, 0.129, 0.018, 267962, 11044, 0.039, 0.007
278, 427152, 54, 0.060, 0.026, 973238, 35928, 0.143, 0.057, 269444, 10673, 0.043, 0.019
279, 430225, 53, 0.059, 0.019, 980757, 36804, 0.140, 0.041, 271403, 10783, 0.043, 0.018
280, 433309, 56, 0.055, 0.016, 987519, 37055, 0.131, 0.023, 273606, 10787, 0.040, 0.007
281, 436402, 53, 0.058, 0.020, 996985, 34309, 0.144, 0.079, 275522, 10953, 0.043, 0.050
282, 439510, 55, 0.083, 0.044, 1004397, 36119, 0.197, 0.102, 277018, 11427, 0.059, 0.041
283, 442623, 53, 0.057, 0.020, 1009904, 35427, 0.135, 0.031, 278939, 11371, 0.041, 0.012
284, 445749, 57, 0.056, 0.016, 1015573, 36807, 0.134, 0.018, 281148, 11218, 0.041, 0.010
285, 448889, 57, 0.057, 0.022, 1023354, 37005, 0.138, 0.041, 283074, 11042, 0.041, 0.011
286, 452041, 56, 0.059, 0.011, 1030092, 37242, 0.144, 0.067, 285359, 11038, 0.043, 0.013
287, 455196, 56, 0.061, 0.014, 1038873, 36425, 0.147, 0.037, 287156, 11438, 0.046, 0.017
288, 458367, 56, 0.075, 0.042, 1046731, 37796, 0.175, 0.061, 289034, 11972, 0.053, 0.020
289, 461551, 58, 0.061, 0.015, 1051961, 37911, 0.147, 0.034, 291092, 11463, 0.044, 0.013
290, 464741, 56, 0.058, 0.006, 1060749, 38825, 0.141, 0.022, 293289, 12127, 0.043, 0.009
291, 467946, 56, 0.061, 0.021, 1067054, 39761, 0.140, 0.019, 295133, 11708, 0.043, 0.009
292, 471163, 57, 0.060, 0.019, 1077275, 38090, 0.143, 0.018, 297469, 11844, 0.044, 0.014
293, 474389, 58, 0.064, 0.017, 1082663, 38369, 0.151, 0.038, 299247, 11911, 0.046, 0.014
294, 477622, 54, 0.063, 0.103, 1092934, 38491, 0.145, 0.024, 301095, 12165, 0.044, 0.015
295, 480872, 57, 0.063, 0.018, 1098879, 37999, 0.148, 0.026, 303408, 11566, 0.045, 0.011
296, 484134, 56, 0.063, 0.046, 1106913, 40153, 0.147, 0.064, 305600, 12072, 0.045, 0.014
297, 487403, 60, 0.062, 0.017, 1114180, 40219, 0.149, 0.028, 307361, 11597, 0.045, 0.006
298, 490684, 56, 0.063, 0.014, 1122098, 40514, 0.151, 0.031, 310367, 12184, 0.046, 0.013
299, 493976, 60, 0.062, 0.013, 1130102, 39790, 0.150, 0.025, 312086, 12213, 0.045, 0.009
300, 497278, 59, 0.085, 0.078, 1135891, 39938, 0.195, 0.109, 313616, 12561, 0.061, 0.066
301, 500591, 58, 0.073, 0.041, 1144146, 40985, 0.168, 0.055, 315301, 12194, 0.051, 0.026
302, 503916, 60, 0.068, 0.015, 1154272, 40093, 0.165, 0.057, 317912, 12815, 0.050, 0.018
303, 507254, 59, 0.066, 0.020, 1160925, 41280, 0.158, 0.031, 320075, 12308, 0.049, 0.029
304, 510598, 58, 0.063, 0.009, 1167523, 42226, 0.152, 0.018, 321767, 12507, 0.046, 0.010
305, 513957, 59, 0.064, 0.022, 1174960, 41843, 0.154, 0.028, 323359, 12363, 0.046, 0.007
306, 517328, 60, 0.067, 0.017, 1186344, 41022, 0.160, 0.030, 326250, 12312, 0.049, 0.012
