N, nbOpSEL, u_nbOPSEL, tExecSEL (ms), u_tExecSEL (ms), nbOpBUL, u_nbOPBUL, tExecBUL (ms), u_tExecBUL (ms), nbOpINS, u_nbOPINS, tExecINS (ms), u_tExecINS (ms)
362, 723549, 65, 0.087, 0.012, 1664609, 52678, 0.212, 0.035, 456229, 16204, 0.066, 0.016
363, 727546, 70, 0.092, 0.026, 1674462, 53659, 0.222, 0.043, 459030, 16260, 0.070, 0.042
364, 731549, 67, 0.094, 0.023, 1684685, 52897, 0.230, 0.065, 460377, 16984, 0.070, 0.022
365, 735570, 69, 0.099, 0.037, 1695436, 53318, 0.237, 0.067, 463425, 16677, 0.073, 0.023
366, 739602, 70, 0.095, 0.029, 1704531, 51892, 0.228, 0.053, 466101, 16309, 0.071, 0.027
367, 743642, 71, 0.092, 0.024, 1710649, 53911, 0.223, 0.042, 468659, 17387, 0.068, 0.016
368, 747693, 71, 0.094, 0.029, 1725581, 51794, 0.225, 0.045, 471447, 16596, 0.069, 0.027
369, 751755, 71, 0.094, 0.024, 1727126, 56771, 0.229, 0.046, 474246, 16782, 0.072, 0.039
370, 755833, 69, 0.107, 0.049, 1740036, 54592, 0.257, 0.105, 476807, 16696, 0.079, 0.040
371, 759914, 69, 0.099, 0.041, 1748993, 54517, 0.242, 0.074, 478735, 16704, 0.072, 0.016
372, 764006, 68, 0.099, 0.033, 1761666, 56800, 0.237, 0.062, 481748, 17099, 0.071, 0.014
373, 768115, 69, 0.101, 0.027, 1768155, 55375, 0.246, 0.068, 484383, 17243, 0.075, 0.020
374, 772230, 70, 0.096, 0.021, 1780221, 58413, 0.236, 0.051, 486025, 17838, 0.072, 0.021
375, 776358, 74, 0.101, 0.026, 1790636, 55184, 0.247, 0.067, 488805, 17245, 0.076, 0.031
376, 780499, 70, 0.094, 0.017, 1796509, 58182, 0.229, 0.043, 491324, 17215, 0.070, 0.019
377, 784650, 68, 0.095, 0.023, 1809700, 56583, 0.228, 0.026, 494515, 16762, 0.070, 0.008
378, 788812, 71, 0.097, 0.031, 1817325, 57086, 0.234, 0.046, 496650, 16750, 0.071, 0.016
379, 792984, 72, 0.101, 0.030, 1827843, 55696, 0.264, 0.463, 499892, 17635, 0.075, 0.015
380, 797165, 71, 0.101, 0.033, 1835303, 57399, 0.243, 0.052, 502108, 17973, 0.076, 0.025
381, 801358, 68, 0.096, 0.018, 1847802, 55050, 0.233, 0.032, 504645, 17042, 0.074, 0.029
382, 805568, 72, 0.110, 0.049, 1856017, 57104, 0.266, 0.080, 508239, 17144, 0.083, 0.039
383, 809785, 74, 0.117, 0.050, 1866168, 59029, 0.282, 0.100, 509731, 17285, 0.086, 0.034
384, 814012, 74, 0.105, 0.033, 1879744, 58142, 0.253, 0.055, 513195, 17230, 0.078, 0.031
385, 818248, 71, 0.100, 0.029, 1888395, 58423, 0.240, 0.047, 515344, 17753, 0.074, 0.019
386, 822498, 73, 0.101, 0.025, 1898020, 58850, 0.242, 0.034, 519102, 18062, 0.075, 0.022
387, 826755, 71, 0.100, 0.026, 1904626, 59125, 0.241, 0.035, 520722, 17786, 0.074, 0.014
388, 831029, 74, 0.100, 0.021, 1914330, 60096, 0.242, 0.031, 523404, 18166, 0.076, 0.039
389, 835308, 71, 0.100, 0.021, 1927294, 57880, 0.245, 0.051, 526371, 17307, 0.076, 0.022
390, 839601, 73, 0.104, 0.031, 1932423, 61422, 0.252, 0.045, 528861, 18779, 0.078, 0.024
391, 843909, 70, 0.102, 0.017, 1947759, 60562, 0.250, 0.045, 531456, 17913, 0.077, 0.018
392, 848222, 73, 0.103, 0.032, 1956476, 63167, 0.249, 0.054, 535408, 18860, 0.077, 0.022
393, 852549, 75, 0.119, 0.046, 1969456, 61131, 0.290, 0.111, 537933, 18760, 0.091, 0.057
394, 856886, 75, 0.145, 0.072, 1976445, 59823, 0.351, 0.155, 539965, 18880, 0.107, 0.070
395, 861233, 75, 0.110, 0.033, 1986755, 61925, 0.267, 0.062, 542518, 18342, 0.083, 0.033
396, 865595, 72, 0.123, 0.047, 1998616, 61349, 0.298, 0.095, 545182, 18100, 0.093, 0.037
397, 869963, 75, 0.107, 0.035, 2010963, 60070, 0.256, 0.034, 548196, 19907, 0.079, 0.018
398, 874347, 77, 0.105, 0.020, 2022352, 60227, 0.258, 0.039, 550998, 19602, 0.078, 0.015
399, 878740, 72, 0.116, 0.040, 2026646, 62507, 0.284, 0.077, 553065, 18451, 0.088, 0.035
400, 883141, 75, 0.111, 0.030, 2039985, 63744, 0.272, 0.079, 556166, 19123, 0.084, 0.027
401, 887557, 74, 0.110, 0.066, 2048481, 59367, 0.266, 0.057, 559463, 18382, 0.081, 0.027
402, 891981, 74, 0.120, 0.037, 2058011, 63489, 0.293, 0.086, 562549, 19668, 0.090, 0.034
403, 896415, 73, 0.128, 0.063, 2072668, 61034, 0.307, 0.104, 563751, 19014, 0.097, 0.076
404, 900867, 76, 0.131, 0.049, 2083155, 63898, 0.321, 0.112, 568779, 19301, 0.099, 0.040
405, 905320, 75, 0.112, 0.040, 2091770, 64010, 0.265, 0.045, 570236, 19255, 0.082, 0.021
406, 909789, 73, 0.109, 0.024, 2100546, 62667, 0.267, 0.044, 572856, 19225, 0.081, 0.017
407, 914272, 73, 0.116, 0.031, 2109963, 64375, 0.282, 0.068, 574797, 19348, 0.087, 0.024
408, 918764, 76, 0.118, 0.060, 2122504, 63354, 0.281, 0.067, 579090, 20355, 0.086, 0.021
409, 923268, 75, 0.119, 0.050, 2131819, 65816, 0.294, 0.231, 580725, 18720, 0.100, 0.351
410, 927778, 74, 0.138, 0.051, 2145270, 64692, 0.335, 0.109, 585145, 19201, 0.103, 0.043
411, 932302, 73, 0.118, 0.037, 2152888, 65395, 0.285, 0.061, 587420, 19760, 0.088, 0.027
412, 936840, 77, 0.121, 0.038, 2163706, 66731, 0.296, 0.078, 589771, 19696, 0.094, 0.067
413, 941385, 76, 0.171, 0.080, 2177799, 64777, 0.414, 0.162, 592478, 19928, 0.127, 0.058
414, 945935, 76, 0.130, 0.049, 2190524, 64722, 0.317, 0.102, 596194, 19916, 0.097, 0.041
415, 950515, 76, 0.119, 0.031, 2199023, 63544, 0.287, 0.062, 599182, 18925, 0.089, 0.026
416, 955092, 74, 0.125, 0.039, 2208471, 64509, 0.302, 0.070, 602348, 18968, 0.093, 0.027
417, 959680, 77, 0.118, 0.029, 2217952, 66301, 0.284, 0.051, 605352, 20303, 0.089, 0.025
418, 964277, 79, 0.124, 0.034, 2231216, 65945, 0.308, 0.104, 607622, 20711, 0.094, 0.028
419, 968894, 76, 0.121, 0.032, 2237173, 68235, 0.296, 0.083, 610617, 20345, 0.091, 0.031
420, 973516, 77, 0.122, 0.032, 2253074, 65945, 0.298, 0.070, 613586, 21335, 0.091, 0.022
421, 978151, 81, 0.124, 0.040, 2260195, 65929, 0.304, 0.084, 616665, 19880, 0.093, 0.029
422, 982795, 80, 0.182, 0.074, 2274582, 67063, 0.441, 0.162, 618444, 20316, 0.136, 0.064
423, 987455, 74, 0.141, 0.055, 2285375, 67002, 0.344, 0.114, 623286, 20521, 0.106, 0.039
424, 992123, 75, 0.129, 0.037, 2299645, 65771, 0.320, 0.085, 626397, 20351, 0.097, 0.028
425, 996800, 79, 0.142, 0.048, 2303212, 70029, 0.348, 0.110, 627534, 20592, 0.109, 0.045
426, 1001481, 77, 0.126, 0.034, 2320088, 65880, 0.312, 0.074, 630889, 20815, 0.097, 0.033
427, 1006191, 81, 0.130, 0.041, 2329169, 65933, 0.317, 0.082, 634623, 20684, 0.098, 0.029
428, 1010896, 79, 0.124, 0.029, 2337979, 68134, 0.304, 0.063, 636895, 20636, 0.093, 0.020
429, 1015621, 77, 0.126, 0.039, 2352950, 68628, 0.305, 0.058, 640612, 21166, 0.094, 0.023
430, 1020351, 78, 0.138, 0.055, 2363652, 65199, 0.337, 0.115, 643597, 20525, 0.107, 0.060
431, 1025103, 80, 0.168, 0.080, 2369046, 69671, 0.399, 0.159, 647181, 21841, 0.126, 0.059
432, 1029854, 81, 0.131, 0.036, 2384270, 69125, 0.322, 0.078, 649373, 21455, 0.099, 0.029
433, 1034619, 78, 0.130, 0.035, 2395313, 72884, 0.315, 0.059, 652102, 20363, 0.099, 0.034
434, 1039399, 81, 0.129, 0.055, 2405256, 68177, 0.315, 0.059, 655643, 22413, 0.098, 0.031
435, 1044190, 80, 0.127, 0.030, 2417038, 71379, 0.309, 0.057, 658673, 22700, 0.098, 0.046
436, 1048985, 76, 0.140, 0.062, 2429804, 69902, 0.337, 0.087, 661551, 20872, 0.104, 0.031
437, 1053792, 78, 0.146, 0.050, 2441757, 70976, 0.360, 0.115, 664302, 21113, 0.110, 0.036
438, 1058620, 81, 0.149, 0.086, 2456638, 68132, 0.355, 0.108, 667410, 22029, 0.114, 0.091
439, 1063448, 78, 0.160, 0.064, 2463224, 69450, 0.389, 0.139, 669965, 22104, 0.120, 0.045
440, 1068294, 80, 0.150, 0.056, 2477439, 72470, 0.369, 0.123, 673089, 21755, 0.113, 0.039
441, 1073148, 81, 0.145, 0.046, 2485858, 71802, 0.354, 0.106, 675433, 21245, 0.110, 0.044
442, 1078009, 81, 0.146, 0.048, 2499668, 71950, 0.359, 0.120, 679672, 22115, 0.111, 0.039
443, 1082890, 81, 0.139, 0.040, 2506135, 74512, 0.343, 0.104, 683092, 22839, 0.105, 0.031
444, 1087783, 83, 0.152, 0.050, 2515580, 73136, 0.373, 0.116, 685510, 22136, 0.115, 0.042
445, 1092674, 81, 0.140, 0.041, 2531705, 75080, 0.342, 0.083, 689610, 22101, 0.106, 0.030
446, 1097581, 81, 0.146, 0.084, 2543302, 73323, 0.347, 0.108, 690526, 23235, 0.110, 0.062
447, 1102503, 86, 0.166, 0.076, 2553767, 72542, 0.407, 0.170, 695544, 21522, 0.125, 0.056
448, 1107432, 79, 0.131, 0.026, 2563802, 70684, 0.324, 0.059, 697083, 22017, 0.099, 0.017
449, 1112379, 83, 0.152, 0.048, 2575757, 73410, 0.370, 0.099, 699922, 22609, 0.115, 0.037
450, 1117330, 79, 0.143, 0.042, 2587975, 74257, 0.349, 0.089, 704016, 22986, 0.108, 0.031
451, 1122296, 83, 0.139, 0.039, 2599612, 72018, 0.340, 0.070, 707079, 21997, 0.106, 0.031
452, 1127275, 84, 0.164, 0.112, 2613964, 74121, 0.394, 0.132, 710270, 22283, 0.121, 0.049
453, 1132256, 84, 0.169, 0.449, 2625367, 77144, 0.375, 0.284, 713018, 22797, 0.127, 0.495
454, 1137255, 81, 0.157, 0.072, 2638754, 76757, 0.404, 0.434, 715486, 22476, 0.118, 0.055
455, 1142263, 84, 0.171, 0.246, 2647671, 75654, 0.435, 0.530, 720022, 23495, 0.125, 0.086
456, 1147282, 82, 0.177, 0.232, 2661455, 75220, 0.418, 0.212, 723587, 22841, 0.128, 0.064
457, 1152314, 82, 0.167, 0.056, 2672568, 75389, 0.412, 0.151, 725380, 23136, 0.132, 0.082
458, 1157348, 81, 0.165, 0.076, 2682134, 78886, 0.411, 0.258, 729080, 23309, 0.128, 0.093
459, 1162408, 83, 0.161, 0.060, 2695782, 72055, 0.397, 0.156, 732576, 23811, 0.124, 0.051
460, 1167472, 83, 0.142, 0.031, 2709718, 74897, 0.355, 0.120, 735697, 23604, 0.109, 0.047
461, 1172541, 79, 0.196, 0.600, 2717576, 76300, 0.429, 0.446, 737383, 23987, 0.131, 0.089
