N, nbOp, u_nbOP, tExec (ms), u_tExec (ms)
171, 130355, 3813, 0.045, 0.008
172, 131851, 3869, 0.053, 0.015
173, 133314, 3802, 0.056, 0.021
174, 134919, 3827, 0.081, 0.032
175, 136597, 3780, 0.079, 0.034
176, 138232, 3861, 0.055, 0.025
177, 139789, 4089, 0.057, 0.019
178, 141517, 4088, 0.059, 0.028
179, 142947, 4026, 0.068, 0.026
180, 144488, 4107, 0.086, 0.038
181, 146304, 4217, 0.069, 0.030
182, 147698, 4147, 0.072, 0.024
183, 149602, 4057, 0.056, 0.019
184, 151131, 4133, 0.065, 0.032
185, 152651, 4202, 0.055, 0.046
186, 154362, 4130, 0.051, 0.005
187, 155845, 4201, 0.059, 0.019
188, 157620, 4487, 0.080, 0.026
189, 159499, 4493, 0.086, 0.036
190, 161271, 4408, 0.076, 0.030
191, 162804, 4418, 0.087, 0.034
192, 164110, 4409, 0.086, 0.036
193, 166083, 4427, 0.082, 0.031
194, 167805, 4672, 0.089, 0.032
195, 169559, 4406, 0.074, 0.032
196, 171472, 4615, 0.064, 0.016
197, 173315, 4646, 0.095, 0.031
198, 174892, 4903, 0.105, 0.032
199, 176492, 4862, 0.077, 0.034
200, 178981, 4575, 0.069, 0.021
201, 180282, 4869, 0.092, 0.034
202, 182126, 4660, 0.078, 0.028
203, 184097, 4990, 0.104, 0.040
204, 185680, 5002, 0.096, 0.033
205, 187420, 5019, 0.102, 0.030
206, 189438, 5037, 0.099, 0.041
207, 190952, 5358, 0.080, 0.031
208, 193241, 5085, 0.068, 0.013
209, 194794, 5025, 0.101, 0.034
210, 197063, 5103, 0.073, 0.028
211, 198662, 5089, 0.070, 0.019
212, 200825, 5205, 0.102, 0.040
213, 202306, 5411, 0.080, 0.033
214, 204267, 5257, 0.094, 0.040
215, 206523, 5423, 0.089, 0.033
216, 208066, 5436, 0.081, 0.038
217, 209853, 5407, 0.076, 0.021
218, 212411, 5501, 0.121, 0.048
219, 213942, 5451, 0.116, 0.040
220, 216161, 5512, 0.105, 0.039
221, 218088, 5482, 0.128, 0.040
222, 219739, 5745, 0.099, 0.037
223, 221907, 5805, 0.080, 0.023
224, 223610, 5923, 0.085, 0.027
225, 226294, 5630, 0.108, 0.045
226, 228226, 5697, 0.097, 0.038
227, 229824, 5507, 0.079, 0.018
228, 232031, 6006, 0.097, 0.036
229, 234316, 5926, 0.124, 0.049
230, 235924, 5883, 0.095, 0.039
231, 238001, 5921, 0.103, 0.037
232, 240302, 5852, 0.110, 0.040
233, 242441, 6163, 0.082, 0.024
234, 244425, 6075, 0.089, 0.018
235, 246431, 6298, 0.103, 0.037
236, 248426, 6262, 0.104, 0.038
237, 250726, 6093, 0.085, 0.022
238, 252949, 6205, 0.127, 0.047
239, 255139, 6120, 0.109, 0.037
240, 257294, 5956, 0.112, 0.044
241, 259154, 6365, 0.107, 0.041
242, 261561, 6380, 0.096, 0.036
243, 263556, 6162, 0.150, 0.042
244, 265648, 6561, 0.143, 0.048
245, 267826, 6526, 0.097, 0.029
246, 269866, 6448, 0.135, 0.046
247, 271926, 6546, 0.125, 0.050
248, 274418, 6472, 0.143, 0.055
249, 276971, 6689, 0.104, 0.042
250, 279073, 6815, 0.102, 0.024
251, 281348, 6928, 0.147, 0.057
252, 283527, 6700, 0.123, 0.046
253, 286176, 6715, 0.100, 0.031
254, 287947, 6708, 0.114, 0.039
255, 290167, 6814, 0.149, 0.055
256, 292579, 6698, 0.128, 0.051
257, 294935, 6960, 0.133, 0.055
258, 297132, 6702, 0.173, 0.050
259, 299473, 7270, 0.132, 0.052
260, 301708, 7060, 0.147, 0.050
261, 303958, 7126, 0.136, 0.050
262, 306411, 7057, 0.165, 0.051
263, 308804, 7372, 0.129, 0.044
264, 311363, 7312, 0.106, 0.032
265, 313465, 7249, 0.127, 0.047
266, 316082, 7557, 0.129, 0.050
267, 318600, 7115, 0.152, 0.058
268, 320492, 7343, 0.160, 0.057
269, 323038, 7675, 0.164, 0.057
270, 325488, 7558, 0.159, 0.051
271, 328025, 7987, 0.152, 0.056
272, 330300, 7777, 0.142, 0.049
273, 332402, 7353, 0.167, 0.059
274, 335005, 7696, 0.169, 0.056
275, 337107, 7901, 0.136, 0.042
276, 339704, 7734, 0.155, 0.059
277, 342785, 7942, 0.155, 0.054
278, 344963, 7852, 0.158, 0.058
279, 347163, 7987, 0.140, 0.055
280, 350068, 7686, 0.186, 0.060
281, 352535, 7789, 0.148, 0.064
282, 355500, 7883, 0.155, 0.057
283, 357642, 8130, 0.149, 0.054
284, 360248, 8192, 0.143, 0.054
285, 363091, 8439, 0.177, 0.061
286, 365366, 8265, 0.126, 0.037
287, 367749, 8456, 0.155, 0.058
288, 370176, 8019, 0.137, 0.047
289, 372664, 8433, 0.125, 0.035
290, 375186, 8406, 0.151, 0.055
291, 378141, 8195, 0.149, 0.058
292, 380435, 8284, 0.176, 0.063
293, 383027, 8408, 0.150, 0.059
294, 385920, 8675, 0.155, 0.059
295, 388636, 8514, 0.128, 0.031
296, 390979, 8423, 0.164, 0.062
297, 393718, 8885, 0.151, 0.059
298, 396635, 8456, 0.175, 0.063
299, 398954, 8536, 0.162, 0.057
300, 401369, 8867, 0.155, 0.058
301, 404840, 9121, 0.147, 0.054
302, 407007, 8637, 0.174, 0.066
303, 410259, 8724, 0.139, 0.047
