N, nbOp, u_nbOP, tExec (ms), u_tExec (ms)
171, 94564, 4956, 0.017, 0.002
172, 95623, 5030, 0.021, 0.009
173, 96634, 4941, 0.022, 0.010
174, 97825, 4975, 0.032, 0.013
175, 99107, 4913, 0.031, 0.015
176, 100325, 5019, 0.021, 0.009
177, 101438, 5315, 0.022, 0.006
178, 102769, 5313, 0.024, 0.025
179, 103707, 5234, 0.027, 0.015
180, 104782, 5339, 0.033, 0.016
181, 106212, 5482, 0.027, 0.021
182, 107086, 5390, 0.029, 0.018
183, 108619, 5274, 0.022, 0.008
184, 109659, 5373, 0.025, 0.010
185, 110683, 5462, 0.022, 0.017
186, 111949, 5368, 0.020, 0.002
187, 112914, 5461, 0.023, 0.006
188, 114253, 5832, 0.032, 0.011
189, 115723, 5841, 0.033, 0.011
190, 117047, 5730, 0.030, 0.015
191, 118056, 5742, 0.034, 0.014
192, 118765, 5731, 0.034, 0.016
193, 120335, 5754, 0.032, 0.014
194, 121575, 6073, 0.035, 0.018
195, 122849, 5728, 0.029, 0.013
196, 124327, 5998, 0.026, 0.013
197, 125708, 6039, 0.040, 0.063
198, 126739, 6373, 0.042, 0.016
199, 127793, 6321, 0.030, 0.015
200, 129997, 5947, 0.028, 0.013
201, 130653, 6329, 0.036, 0.014
202, 132008, 6057, 0.031, 0.013
203, 133525, 6486, 0.042, 0.029
204, 134531, 6502, 0.039, 0.028
205, 135737, 6524, 0.041, 0.017
206, 137298, 6547, 0.040, 0.018
207, 138199, 6965, 0.032, 0.031
208, 140102, 6609, 0.029, 0.024
209, 141044, 6532, 0.041, 0.024
210, 142910, 6633, 0.029, 0.015
211, 143901, 6615, 0.028, 0.012
212, 145620, 6766, 0.041, 0.019
213, 146447, 7034, 0.032, 0.013
214, 147893, 6834, 0.037, 0.015
215, 149717, 7049, 0.037, 0.020
216, 150609, 7067, 0.032, 0.013
217, 151813, 7029, 0.031, 0.012
218, 154015, 7151, 0.048, 0.021
219, 154876, 7085, 0.047, 0.022
220, 156625, 7165, 0.042, 0.016
221, 157991, 7126, 0.052, 0.021
